LANGUAGE,English,German,Czech,Russian,Polish,Spanish,Korean
STR_DN_ResDDPletivo,Fence Mesh Green (Res),Zaunineinandergreifen grun (Res),Pletivo Zelené (Res),Çàáîğ Ñåò÷àòûé Çåëåíûé (Res),Ogrodzenie Mesh Zielony (Res),Valla malla Verde (Res),Fence Mesh Green (Res)
STR_DN_ResDDPletivoDira,Fence Mesh Green w/ Hole (Res),Zaunineinandergreifen Green m/ Loch (Res),Pletivo Zelené S Dírkou (Res),Çàáîğ Ñåò÷àòûé Çåëåíûé c Äûğîé (Res),Ogrodzenie Mesh Zielony w/ Hole (Res),Valla malla Verde c/hoyo (Res),Fence Mesh Green w/ Hole (Res)
STR_DN_ResDDPletivoSL,Fence Mesh Green Column (Res),Zaunineinandergreifen grune Saule (Res),Pletivo Zelené Sloupcovı (Res),Çàáîğ Ñåò÷àòûé Çåëåíûé êîëîííà (Res),Ogrodzenie Mesh Zielony Column (Res),Valla malla verde columna (Res),Fence Mesh Green Column (Res)
STR_DN_AAA223,Fence Wire,Zaundraht,Plot (Drát),Çàáîğ (Ïğîâîëîêà),Ogrodzenie (Drut),Valla (Alambre),Fence Wire
STR_DN_ResPlotVlnplech1,Fence Waved Metal 1 (Res),Zaun hat metallenen 1 (Res) geschwenkt,Plot Vlnìnı eleznı 1 (Res),Çàáîğ Ãîôğèğîâàííûé Ìåòàëëè÷åñêèé 1 (Res),Ogrodzenie Waved Metal 1 (Res),Valla de Metal 1 (Res),Fence Waved Metal 1 (Res)
STR_DN_ResPlotVlnplech2,Fence Waved Metal 2 (Res),Zaun hat metallene 2 (Res) geschwenkt,Plot Vlnìnı eleznı 2 (Res),Çàáîğ Ãîôğèğîâàííûé Ìåòàëëè÷åñêèé 2 (Res),Ogrodzenie Waved Metal 2 (Res),Valla de Metal 2 (Res),Fence Waved Metal 2 (Res)
STR_DN_ResInvisibleFence,Fence Invisible (Res),Zaun unsichtbar (Res),Plot Neviditelnı (res),Çàáîğ Íåâèäèìûé (Res),Ogrodzenie Invisible (Res),Valla invisiblre (Res),Fence Invisible (Res)
STR_DN_AAA541,Fence Chain Link Torn,Gerissene Zaunkettenverbindung,Plot Øetìzcovı Omezenı,Çàáîğ Çâåíüåâîé Ïîğâàííûé,Ogrodzenie Chain Link Torn,Valla alamrada,Fence Chain Link Torn
STR_DN_AAA479,Fence Wire Mesh Gate Closed,Zaunleitung verwickelt geschlossenes Tor,Plotové Pletivo Se Zavøenımi Dveømi,Çàáîğ Ïğîâîëî÷íàÿ ñåòêà Âîğîòà Çàêğûòûå,Ogrodzenie Wire Mesh Gate Closed,Vall alambrada puerta cerrada,´İÈù ¿ÍÀÌ¾î ¸Ş½¬ ¹®
STR_DN_AAA480,Fence Wire Mesh Gate Open,Zaunleitung verwickelt offenes Tor,Plotové Pletivo S Otevøenımi Dveømi,Çàáîğ Ïğîâîëî÷íàÿ ñåòêà Âîğîòà Îòêğûòûå,Ogrodzenie Wire Mesh Gate Open,Vall alambrada puerta abierta,¿­¸° ¿ÍÀÌ¾î ¸Ş½¬ ¹®
STR_DN_AAA482,Fence Wire Mesh,Zaunleitungsineinandergreifen,Plotové Pletivo,Çàáîğ Ïğîâîëî÷íàÿ ñåòêà,Ogrodzenie Wire Mesh,Valla alambrada malla,¿ÍÀÌ¾î ¸Ş½¬
STR_DN_AAA481,Fence Concrete Column,Zaunbetonsaule,Plot Betonovı Sloupcovı,Çàáîğ Áåòîííàÿ êîëîííà,Ogrodzenie Concrete Column,Valla de concreto columna,Fence Concrete Column
STR_DN_AAA226,Fence Concrete Column 2,Zaunbetonspalte 2,Plot Betonovı Sloupcovı 2,Çàáîğ Áåòîííàÿ êîëîííà 2,Ogrodzenie Concrete Column 2,Valla de concreto columna 2,Fence Concrete Column 2
STR_DN_AAA224,Fence Steel Gate Closed,Geschlossenes Zaunstahltor,Plot Ocelovı se Zavøenımi Dveømi,Çàáîğ Ñòàëüíàÿ Êàëèòêà Ç,Ogrodzenie Steel Gate Closed,Valla puerta de acero cerrada,´İÈù Ã¶Á¦ ´ë¹®
STR_DN_AAA228,Fence Steel Gate Closed 2,Zaunstahltor hat 2 geschlossen,Plot Ocelovı se Zavøenımi Dveømi 2,Çàáîğ Ñòàëüíûå Âîğîòà Ç,Ogrodzenie Steel Gate Closed 2,Valla puerta de acero cerrada 2,´İÈù Ã¶Á¦ ´ë¹® 2
STR_DN_AAA225,Fence Steel Gate Open,Offenes Zaunstahltor,Plot Ocelovı S Otevøenımi Dveømi,Çàáîğ Ñòàëüíàÿ Êàëèòêà Î,Ogrodzenie Steel Gate Open,Valla puerta de acero abierta,¿­¸° Ã¶Á¦ ´ë¹®
STR_DN_AAA229,Fence Steel Gate Open 2,Zaunstahltor offene 2,Plot Ocelovı S Otevøenımi Dveømi 2,Çàáîğ Ñòàëüíûå Âîğîòà Î,Ogrodzenie Steel Gate Open 2,Valla puertade acero abierta 2,¿­¸° Ã¶Á¦ ´ë¹® 2
STR_DN_AAA477,Fence Steel Fence Closed,Geschlossener Zaunstahlzaun,Plot Oplocenı Zavøenı,Çàáîğ Ñòàëüíîé çàáîğ Ç,Ogrodzenie Steel Fence Closed,Valla de acero cerrada,Fence Steel Fence Closed
STR_DN_AAA478,Fence Steel Fence Open,Offener Zaunstahlzaun,Plot Oplocenı Otevøenı,Çàáîğ Ñòàëüíîé çàáîğ Î,Ogrodzenie Steel Fence Open,Valla de acero abierta,Fence Steel Fence Open
STR_DN_AAA227,Fence Steel Mesh Fence,Zaunstahl verwickelt Zaun,Pletivo Oplocené Ocelové,Çàáîğ Ñòàëüíîé çàáîğ,Ogrodzenie Steel Mesh Fence,Valla de acero malla,Fence Steel Mesh Fence
STR_DN_AAA230,Fence Wood,Zaunholzzaun,Plot Oplocenı Døevìnı,Çàáîğ Äåğåâÿííûé,Ogrodzenie Wood,Valla de madera,³ª¹« ¿ïÅ¸¸®
STR_DN_AAA232,Fence Red White Pole,Zaun roter weiss Pol,Plot Èervenı S Bílou Pólí,Çàáîğ Êğàñíîáåëûé ñòîëáèê,Ogrodzenie Czerwony Bia³y Pole,Poste rojo y blanco,Fence Red White Pole
STR_DN_AAA305,Fence Concrete Gate Closed,Geschlossenes Zaunbetontor,Plot Betonovı Se Zavøenou Bránou,Çàáîğ Áåòîííûå Âîğîòà Ç,Ogrodzenie Concrete Gate Closed,Puerta cerrada de concreto,Fence Concrete Gate Closed
STR_DN_AAA493,Fence Concrete Gate Open,Offenes Zaunbetontor,Plot Betonovı S Otevøenou Bránou,Çàáîğ Áåòîííûå Âîğîòà Î,Ogrodzenie Concrete Gate Open,Puesta de concreto abierta,Fence Concrete Gate Open
STR_DN_ResZidkaBranka,Fence Wall Gate Open (Res),Zaunwandtor offen (Res),Plotová Stìna S Otevøenou Bránou (Res),Çàáîğ Âîğîòà â ñòåíå Îòêğûòûå (Res),Ogrodzenie Wall Gate Open (Res),Muro puerta abierto (Res),Fence Wall Gate Open (Res)
STR_DN_ResZidka01,Fence Wall 1 (Res),Zaunwand 1 (Res),Plotová Stìna 1 (Res),Çàáîğ Ñòåíà 1 (Res),Ogrodzenie Wall 1 (Res),Muro 1 (Res),´ãÀå 1 (Res)
STR_DN_ResZidka02,Fence Wall 2 (Res),Zaunwand 2 (Res),Plotová Stìna 2 (Res),Çàáîğ Ñòåíà 2 (Res),Ogrodzenie Wall 2 (Res),Muro 2 (Res),´ãÀå 2 (Res)
STR_DN_ResZidka03Destroyed,Fence Wall 3 Destroyed (Res),Zaunwand 3 zerstorte (Res),Plotová Stìna 3 Znièená (Res),Çàáîğ Ñòåíà 3 Ğàçğóøåííàÿ (Res),Ogrodzenie Wall 3 Destroyed (Res),Muro 3 Destruido (Res),´ãÀå 3 Destroyed (Res)
STR_DN_ResZidka04End,Fence Wall 3 End (Res),Zaunwand 3 Ende (Res),Plotová Stìna 3 Konec (Res),Çàáîğ Ñòåíà 3 Êîíåö (Res),Ogrodzenie Wall 3 End (Res),Muro 3 fin (Res),´ãÀå 3 End (Res)
STR_DN_ResBrana,Fence Concrete Gate Open (Res),Zaunbetontor offen (Res),Plotová Betonová Brána S Otevøenou Bránou (Res),Çàáîğ Áåòîííûå Âîğîòà Îòêğûòûå (Res),Ogrodzenie Concrete Gate Open (Res),Muro de concreto puerta abierta (Res),Fence Concrete Gate Open (Res)
STR_DN_ResBranaNodoor,Fence Concrete Gate Open w/o Door (Res),Zaunbetontor Offene ohne Tur (Res),Plotová Betonová Brána Bez Brány (Res),Çàáîğ Áåòîííûå Âîğîòà Îòêğûòûå áåç Äâåğåé (Res),Ogrodzenie Concrete Gate Open w/o Door (Res),Muro de concreto puerta abierta (Res),Fence Concrete Gate Open w/o Door (Res)
STR_DN_AAA367,Fence Steel Wall,Zaunstahlwand,Plotová Stìna Ocelová,Çàáîğ Ñòàëüíîé,Ogrodzenie Steel Wall,Muro de hierro,Ã¶Á¦ ´ãÀå
STR_DN_AAA368,Fence Steel Wall 2,Zaunstahlwand 2,Plotová Stìna Ocelová 2,Çàáîğ Ñòàëüíîé 2,Ogrodzenie Steel Wall 2,Muro de hierro 2,Ã¶Á¦ ´ãÀå 2
STR_DN_AAA372,Fence Steel Wall 3,Zaunstahlwand 3,Plotová Stìna Ocelová 3,Çàáîğ Ñòàëüíîé 3,Ogrodzenie Steel Wall 3,Muro de hierro 3,Ã¶Á¦ ´ãÀå 3
STR_DN_AAA365,Fence Steel Doors,Zaunstahlturen,Plotová Stìna Ocelová Dveøe,Çàáîğ Ñòàëüíàÿ äâåğü,Ogrodzenie Steel Doors,Puertas de hierro,Ã¶¹®
STR_DN_AAA366,Fence Steel Doors Open,Offene Zaunstahlturen,Plotová Stìna Ocelová S Otevøenımi Dveømi,Çàáîğ Ñòàëüíàÿ äâåğü Î,Ogrodzenie Steel Doors Open,Puertas de hierro abietas,¿­¸° Ã¶¹®
STR_DN_AAA370,Fence Military,Zaunholzwand Militar,Plot vojenské,Çàáîğ Âîåííûé,Ogrodzenie wojskowy,Valla militar,Fence Military
STR_DN_AAA371,Fence Military 2,Zaunholzwand Militar 2,Plot vojenské 2,Çàáîğ Âîåííûé 2,Ogrodzenie wojskowy 2,Valla militar 2,Fence Military 2
STR_DN_AAA832,Fence Damaged Wood Wall,Zaun beschadigte Holzwand,Plotová Stìna Døevìná Poškozená,Çàáîğ Ïîâğåæäåííàÿ Äåğåâÿííûé,Ogrodzenie Damaged Wood Wall,Muro de madera dañado,¼Õ»óµÈ ³ª¹« ´ãÀå
STR_DN_AAA833,Fence Destroyed Wood Wall,Zaun zerstorte Holzwand,Plotová Stìna Døevìná Znièená,Çàáîğ Ïîâğåæäåííàÿ Äåğåâÿííûé,Ogrodzenie Destroyed Wood Wall,Muro de madera destruido,ÆÄ±«µÈ ³ª¹« ´ãÀå
STR_DN_AAA373,Fence Rock Wall,Zaunfelsenwand,Plotová Stìna Kamenná,Çàáîğ Êàìåííûé,Ogrodzenie Kamieñ Wall,Muro de roca,¼®Á¦ ´ãÀå
STR_DN_AAA84Z,Fence Rolled Barbed Wire,Zaun hat Stacheldraht gerollt,Plotovı Válcovı Ostnatı Drát,Çàáîğ Ñêğó÷åííàÿ êîëş÷àÿ ïğîâîëîêà,Ogrodzenie Rolled Barbed Wire,Valla con alambre de púas,¿øÇü Ã¶Á¶¸Á
STR_DN_AAA148,Steel TankSpike,StahltankSpike,Protitanková Pøekáka,Ñòàëüíîé Òàíêîâûé íàäîëá,Steel TankSpike,Pico de metal,Steel TankSpike
STR_DN_AAA149,Beton VehicleSpike,Beton VehicleSpike,Protivozidlová Pøekáka,Áåòîííûé Íàäîëá,Beton VehicleSpike,Beton VehicleSpike,Beton VehicleSpike
STR_DN_AAA552,Fence Low Beton,Zaun niedriger Beton,Plot Betonovı Nízkı,Çàáîğ Íèçêèé áåòîííûé,Ogrodzenie Low Beton,Valla e hormibon baja,Fence Low Beton
STR_DN_AAA175,Bush Long Section,Bush langer Abschnitt,Keø Dlouhá Èást,Êóñò Äëèííûé,Bush Long Section,Arbusto largo sección,Bush Long Section (Large)
STR_DN_AAA174,Bush Large Section,Bush grosse Abteilung,Keø Velká Èást,Êóñò Áîëüøàÿ Ñåêöèÿ,Bush Du¿y Section,Arbusto grande sección,Bush Large Section (Large)
STR_DN_AAA756,Bush Large Section 3,Bush grosser Abschnitt 3,Keø Velkı Èást 3,Êóñò Áîëüøàÿ Ñåêöèÿ3,Bush Du¿y Section 3,Arbusto grande sección 3,Bush Large Section 3
STR_DN_AAA474,Bush Huge Leafy,Bush riesig belaubt,Keø Obrovskı Listnatı,Êóñò ñ Îãğîìíûìè ëèñòüÿìè,Bush Wysoka Liœciasty,Arbusto frondoso grande,ÀÙÀÌ ¸¹Àº ´ıºÒ(Huge)
STR_DN_AAA475,Bush Tall Leafy,Bush hoch belaubt,Keø Dlouhı Listnatı,Êóñò Âûñîêèé,Bush Wysoka Liœciasty,Arbusto frondoso alto,ÀÙÀÌ ¸¹Àº ´ıºÒ(Tall)
STR_DN_AAA170,Bush Medium Section,Mediumsabteilung von Bush,Keø Støední Èást,Êóñò Ñğåäíÿÿ Ñåêöèÿ,Bush Œredni Section,Arbusto mediano sección,Bush Medium Section
STR_DN_AAA171,Bush Medium Section 2,Mediumsabschnitt 2 von Bush,Keø Støední Èást 2,Êóñò Ñğåäíÿÿ Ñåêöèÿ 2,Bush Œredni Section 2,Arbusto mediano sección 2,Bush Medium Section 2
STR_DN_AAA172,Bush Medium Section 3,Mediumsabschnitt 3 von Bush,Keø Støední Èást 3,Êóñò Ñğåäíÿÿ Ñåêöèÿ 3,Bush Œredni Section 3,Arbusto mediano sección 3,Bush Medium Section 3
STR_DN_AAA173,Bush Medium Section 4,Mediumsabschnitt 4 von Bush,Keø Støední Èást 4,Êóñò Ñğåäíÿÿ Ñåêöèÿ 4,Bush Œredni Section 4,Arbusto mediano sección 4,Bush Medium Section 4
STR_DN_AAA98Z,Bush Medium Section 5,Mediumsabschnitt 5 von Bush,Keø Støední Èást 5,Êóñò Ñğåäíÿÿ Ñåêöèÿ 5,Bush Œredni Section 5,Arbusto mediano sección 5,Bush Medium Section 5
STR_DN_AAA152,Bush Medium Leafy,Belaubtes Medium von Bush,Keø Støední Listnatı,Êóñò Ñğåäíèé Öâåòóùèé,Bush Œredni Liœciasty,Arbusto mediano fondoso,ÀÙÀÌ ¸¹Àº ´ıºÒ (Medium)
STR_DN_AAA153,Bush Medium Leafy 2,Medium von Bush belaubte 2,Keø Støední Listnatı 2,Êóñò Ñğåäíèé Öâåòóùèé 2,Bush Œredni Liœciasty 2,Arbusto mediano fondoso 2,ÀÙÀÌ ¸¹Àº ´ıºÒ 2 (Medium)
STR_DN_AAA154,Bush Medium Leafy 3,Medium von Bush belaubte 3,Keø Støední Listnatı 3,Êóñò Ñğåäíèé Öâåòóùèé 3,Bush Œredni Liœciasty 3,Arbusto mediano fondoso 3,ÀÙÀÌ ¸¹Àº ´ıºÒ 3 (Medium)
STR_DN_AAA155,Bush Medium Leafy 4,Medium von Bush belaubte 4,Keø Støední Listnatı 4,Êóñò Ñğåäíèé Öâåòóùèé 4,Bush Œredni Liœciasty 4,Arbusto mediano fondoso 4,ÀÙÀÌ ¸¹Àº ´ıºÒ 4 (Medium)
STR_DN_AAA156,Bush Medium Leafy 5,Medium von Bush belaubte 5,Keø Støední Listnatı 5,Êóñò Ñğåäíèé Öâåòóùèé 5,Bush Œredni Liœciasty 5,Arbusto mediano fondoso 5,ÀÙÀÌ ¸¹Àº ´ıºÒ 5 (Medium)
STR_DN_AAA759,Bush Medium Leafy 6,Medium von Bush belaubte 6,Keø Støední Listnatı 6,Êóñò Ñğåäíèé Öâåòóùèé 6,Bush Œredni Liœciasty 6,Arbusto mediano fondoso 6,ÀÙÀÌ ¸¹Àº ´ıºÒ 6 (Medium)
STR_DN_AAA753,Bush Medium Leafless,Blatterloses Medium von Bush,Keø Støední Bezlistı,Êóñò Ñğåäíèé Çàñîõøèé,Bush Œredni Leafless,Arbusto mediano sin hojas,ÀÙÀÌ ¾ø´Â ´ıºÒ (Medium)
STR_DN_AAA157,Bush Small Leafy,Bush klein belaubt,Keø Malı Listnatı,Êóñò Ìàëûé Öâåòóùèé,Bush Ma³y Liœciasty,Arbusto pequño frondoso,ÀÙÀÌ ¸¹Àº ´ıºÒ (Small)
STR_DN_AAA752,Bush Small Leafless,Bush klein blatterlos,Keø Malı Bezlistı,Êóñò Ìàëûé Çàñîõøèé,Bush Ma³y Leafless,Arbusto peqieño sin hojas,ÀÙÀÌ ¾ø´Â ´ıºÒ (Small)
STR_DN_AAA472,Grass Tall Wheat,Gras hoher Weizen,Tráva Vysoká Pšenice,Òğàâà Ïøåíèöà,Trawa Wysoka Wheat,Césped alto ceco,Grass Tall Wheat
STR_DN_AAA576,Grass Kentucky Bluegrass,Gras Wiesenrispengras von Kentucky,Tráva Lipnice Luèní,Òğàâà Ìÿòëèê,Trawa Kentucky Bluegrass,Césped alto Kentucky azul,Grass Kentucky Bluegrass
STR_DN_AAA662,Grass Yellow Flowered,Gras gelb geblumt,Tráva lutá Kvetoucí,Òğàâà Æåëòûé öâåòîê,Trawa ¯ó³ty Flowered,Césped amarillo floreado,Grass Yellow Flowered
STR_DN_AAA663,Grass Rabbit,Gras Kaninchen,Tráva Králík,Òğàâà Êğîëè÷üÿ,Trawa Królik,Césped de conejo,Grass Rabbit
STR_DN_AAA664,Grass Lilacs,Grasflieder,Tráva Šeøík,Òğàâà Ñèğåíü,Trawa Lilacs,Césped Lilas,Grass Lilacs
STR_DN_AAA665,Grass Weed,Grasunkraut,Tráva Plevel,Òğàâà Ñîğíÿê,Trawa Weed,Césped gramilla,Grass Weed
STR_DN_AAA666,Grass Weed 2,Grasunkraut 2,Tráva Plevel 2,Òğàâà Ñîğíÿê 2,Trawa Weed 2,Césped gramilla 2,Grass Weed 2
STR_DN_AAA667,Grass Weed 3,Grasunkraut 3,Tráva Plevel 3,Òğàâà Ñîğíÿê 3,Trawa Weed 3,Césped gramilla 3,Grass Weed 3
STR_DN_AAA317,Tree Huge Leafy,Baum riesig belaubt,Strom Obrovskı Listnatı,Äåğåâî Îãğîìíîå Öâåòóùåå,Drzewo Wysoka Liœciasty,Árbol muy grande fondoso,ÀÙÀÌ ¸¹Àº³ª¹« (Huge)
STR_DN_AAA318,Tree Huge Leafy 2,Baum riesige belaubte 2,Strom Obrovskı Listnatı 2,Äåğåâî Îãğîìíîå Öâåòóùåå 2,Drzewo Wysoka Liœciasty 2,Árbol muy grande fondoso 2,ÀÙÀÌ ¸¹Àº³ª¹« 2 (Huge)
STR_DN_AAA325,Tree Huge Leafy 3,Baum riesige belaubte 3,Strom Obrovskı Listnatı 3,Äåğåâî Îãğîìíîå Öâåòóùåå 3,Drzewo Wysoka Liœciasty 3,Árbol muy grande fondoso 3,ÀÙÀÌ ¸¹Àº³ª¹« 3 (Huge)
STR_DN_AAA327,Tree Huge Leafy 4,Baum riesige belaubte 4,Strom Obrovskı Listnatı 4,Äåğåâî Îãğîìíîå Öâåòóùåå 4,Drzewo Wysoka Liœciasty 4,Árbol muy grande fondoso 4,ÀÙÀÌ ¸¹Àº³ª¹« 4 (Huge)
STR_DN_AAA330,Tree Huge Pine,Baum riesige Kiefer,Strom Obrovskı Borovice,Äåğåâî Îãğîìíîå Ñîñíà,Drzewo Wysoka Pine,Pino muy grande,¼Ò³ª¹« (Huge)
STR_DN_AAA331,Tree Huge Pine 2,Baum riesige Kiefer 2,Strom Obrovskı Borovice 2,Äåğåâî Îãğîìíîå Ñîñíà 2,Drzewo Wysoka Pine 2,Pino muy grande 2,¼Ò³ª¹« 2 (Huge)
STR_DN_AAA341,Tree Huge Cedar,Baum riesige Zeder,Strom Obrovskı Cedr,Äåğåâî Îãğîìíîå Êåäğ,Drzewo Wysoka Cedar,Cedro muy grande,»ï³ª¹« (Huge)
STR_DN_AAA342,Tree Huge Cedar 2,Baum riesige Zeder 2,Strom Obrovskı Cedr 2,Äåğåâî Îãğîìíîå Êåäğ 2,Drzewo Wysoka Cedar 2,Cedro grande 2,»ï³ª¹« 2 (Huge)
STR_DN_AAA13Z,Tree Large Leafy,Baum gross belaubt,Strom Velkı Listnatı,Äåğåâî Áîëüøîå Öâåòóùåå,Drzewo Du¿y Liœciasty,Árbol grande fondoso,ÀÙÀÌ ¸¹Àº³ª¹« (Large)
STR_DN_AAA14Z,Tree Large Leafy 2,Baum grosse belaubte 2,Strom Velkı Listnatı 2,Äåğåâî Áîëüøîå Öâåòóùåå 2,Drzewo Du¿y Liœciasty 2,Árbol grande fondoso 2,ÀÙÀÌ ¸¹Àº³ª¹« 2 (Large)
STR_DN_AAA142,Tree Large Leafy 3,Baum grosse belaubte 3,Strom Velkı Listnatı 3,Äåğåâî Áîëüøîå Öâåòóùåå 3,Drzewo Du¿y Liœciasty 3,Árbol grande fondoso 3,ÀÙÀÌ ¸¹Àº³ª¹« 3 (Large)
STR_DN_AAA314,Tree Large Leafy 4,Baum grosse belaubte 4,Strom Velkı Listnatı 4,Äåğåâî Áîëüøîå Öâåòóùåå 4,Drzewo Du¿y Liœciasty 4,Árbol grande fondoso 4,ÀÙÀÌ ¸¹Àº³ª¹« 4 (Large)
STR_DN_AAA315,Tree Large Leafy 5,Baum grosse belaubte 5,Strom Velkı Listnatı 5,Äåğåâî Áîëüøîå Öâåòóùåå 5,Drzewo Du¿y Liœciasty 5,Árbol grande fondoso 5,ÀÙÀÌ ¸¹Àº³ª¹« 5 (Large)
STR_DN_AAA319,Tree Large Leafy 6,Baum grosse belaubte 6,Strom Velkı Listnatı 6,Äåğåâî Áîëüøîå Öâåòóùåå 6,Drzewo Du¿y Liœciasty 6,Árbol grande fondoso 6,ÀÙÀÌ ¸¹Àº³ª¹« 6 (Large)
STR_DN_AAA320,Tree Large Leafy 7,Baum grosse belaubte 7,Strom Velkı Listnatı 7,Äåğåâî Áîëüøîå Öâåòóùåå 7,Drzewo Du¿y Liœciasty 7,Árbol grande fondoso 7,ÀÙÀÌ ¸¹Àº³ª¹« 7 (Large)
STR_DN_AAA337,Tree Large Leafy 8,Baum grosse belaubte 8,Strom Velkı Listnatı 8,Äåğåâî Áîëüøîå Öâåòóùåå 8,Drzewo Du¿y Liœciasty 8,Árbol grande fondoso 8,ÀÙÀÌ ¸¹Àº ³ª¹« 8 (Large)
STR_DN_AAA338,Tree Large Leafy 9,Baum grosse belaubte 9,Strom Velkı Listnatı 9,Äåğåâî Áîëüøîå Öâåòóùåå 9,Drzewo Du¿y Liœciasty 9,Árbol grande fondoso 9,ÀÙÀÌ ¸¹Àº ³ª¹« 9 (Large)
STR_DN_AAA323,Tree Large Pine,Baum grosse Kiefer,Strom Velkı Borovice,Äåğåâî Áîëüøîå Ñîñíà,Drzewo Du¿y Pine,Pino grande,¼Ò³ª¹« (Large)
STR_DN_AAA329,Tree Large Cedars,Baum grosse Zedern,Strom Velkı Cedr,Äåğåâî Áîëüøîå Êåäğ,Drzewo Du¿y Cedars,Cedro grande,»ï³ª¹« (Large)
STR_DN_AAA471,Tree Large Pine Shrub,Baum grosser Kiefernbusch,Strom Velkı Borovice Keø,Äåğåâî Áîëüøîå Ñîñíà (Êóñòàğíèê),Drzewo Du¿y Pine Shrub,Cipres,¼Ò³ª¹« °ü¸ñ (Large)
STR_DN_AAA334,Tree Large Weeping Willow,Baum grosse Trauerweide,Strom Velkı Vrba Bílá,Äåğåâî Áîëüøîå Ïëàêó÷àÿ Èâà,Drzewo Du¿y Weeping Willow,Sauce llorón muy grande,¼ö¾ç¹öµé (Large)
STR_DN_AAA757,Tree Large Felled,Baum grosser Felled,Strom Velkı Poraenı,Äåğåâî Áîëüøîå Ñğóáëåííîå,Drzewo Du¿y Felled,Árbol grande caido,¾²·¯Áø ³ª¹« (Large)
STR_DN_AAA141,Tree Medium Leafy,Belaubtes Baummedium,"Strom Støední Listnatı ",Äåğåâî Ñğåäíåå Öâåòóùåå,Drzewo Œredni Liœciasty,"Árbol mediano frondoso ",ÀÙÀÌ ¸¹Àº ³ª¹« (Medium)
STR_DN_AAA145,Tree Medium Leafy 2,Baummedium belaubte 2,Strom Støední Listnatı 2,Äåğåâî Ñğåäíåå Öâåòóùåå 2,Drzewo Œredni Liœciasty 2,Árbol mediano frondoso 2,ÀÙÀÌ ¸¹Àº ³ª¹« 2 (Medium)
STR_DN_AAA316,Tree Medium Leafy 3,Baummedium belaubte 3,Strom Støední Listnatı 3,Äåğåâî Ñğåäíåå Öâåòóùåå 3,Drzewo Œredni Liœciasty 3,Árbol mediano frondoso 3,ÀÙÀÌ ¸¹Àº ³ª¹« 3 (Medium)
STR_DN_AAA324,Tree Medium Leafy 4,Baummedium belaubte 4,Strom Støední Listnatı 4,Äåğåâî Ñğåäíåå Öâåòóùåå 4,Drzewo Œredni Liœciasty 4,Árbol mediano frondoso 4,ÀÙÀÌ ¸¹Àº ³ª¹« 4 (Medium)
STR_DN_AAA328,Tree Medium Leafy 5,Baummedium belaubte 5,Strom Støední Listnatı 5,Äåğåâî Ñğåäíåå Öâåòóùåå 5,Drzewo Œredni Liœciasty 5,Árbol mediano frondoso 5,ÀÙÀÌ ¸¹Àº ³ª¹« 5 (Medium)
STR_DN_AAA339,Tree Medium Leafy 6,Baummedium belaubte 6,Strom Støední Listnatı 6,Äåğåâî Ñğåäíåå Öâåòóùåå 6,Drzewo Œredni Liœciasty 6,Árbol mediano frondoso 6,ÀÙÀÌ ¸¹Àº ³ª¹« 6 (Medium)
STR_DN_AAA469,Tree Medium Leafy 7,Baummedium belaubte 7,Strom Støední Listnatı 7,Äåğåâî Ñğåäíåå Öâåòóùåå 7,Drzewo Œredni Liœciasty 7,Árbol mediano frondoso 7,ÀÙÀÌ ¸¹Àº ³ª¹« 7 (Medium)
STR_DN_AAA470,Tree Medium Leafy 8,Baummedium belaubte 8,Strom Støední Listnatı 8,Äåğåâî Ñğåäíåå Öâåòóùåå 8,Drzewo Œredni Liœciasty 8,Árbol mediano frondoso 8,ÀÙÀÌ ¸¹Àº ³ª¹« 8 (Medium)
STR_DN_AAA332,Tree Medium Pine,Baummediumskiefer,Strom Støední Borovice,Äåğåâî Ñğåäíåå Ñîñíà,Drzewo Œredni Pine,Pino mediano,¼Ò³ª¹« (Medium)
STR_DN_AAA567,Tree Medium Pine 2,Baummediumskiefer 2,Strom Støední Borovice 2,Äåğåâî Ñğåäíåå Ñîñíà 2,Drzewo Œredni Pine 2,Pino mediano 2,¼Ò³ª¹« 2 (Medium)
STR_DN_AAA15Z,Tree Medium Brown Pine,Baummedium Brown Pine,Strom Støední Borovice Hnìdı,Äåğåâî Ñğåäíåå Êîğè÷íåâàÿ Ñîñíà,Drzewo Œredni Brown Pine,Pino mediano marrón,°¥»ö ¼Ò³ª¹« (Medium)
STR_DN_AAA16Z,Tree Medium Brown Pine 2,Baummedium Brown Pine 2,Strom Støední Borovice Hnìdı 2,Äåğåâî Ñğåäíåå Êîğè÷íåâàÿ Ñîñíà 2,Drzewo Œredni Brown Pine 2,Pino mediano marrón 2,°¥»ö ¼Ò³ª¹« 2 (Medium)
STR_DN_AAA17Z,Tree Medium Brown Pine 3,Baummedium Brown Pine 3,Strom Støední Borovice Hnìdı 3,Äåğåâî Ñğåäíåå Êîğè÷íåâàÿ Ñîñíà 3,Drzewo Œredni Brown Pine 3,Pino mediano marrón 3,°¥»ö ¼Ò³ª¹« 3 (Medium)
STR_DN_AAA241,Tree Medium Cherry Tree,Baummediumskirschbaum,Strom Støední Tøešeò,Äåğåâî Ñğåäíåå Âèøíÿ,Drzewo Œredni Cherry Drzewo,Cerezo mediano,Ã¼¸®³ª¹« (Medium)
